Rating,Company Name,Location,Headquarters,Size,Type of ownership,Industry,Sector,Revenue,job_simplified,seniority,Min Salary,Max Salary,Average Salary,Python_yn,Spark,AWS_yn,Excel_yn,Tableau_yn,SQL_yn,Rating Category,job_state,same_state,Age
3.8,Tecolote Research,"Albuquerque, NM","Goleta, CA",501 to 1000 employees,Company - Private,Aerospace & Defense,Aerospace & Defense,$50 to $100 million (USD),data scientist,Other,53000,91000,72000.0,1,0,0,1,1,0,Medium Rating, NM,0,50
3.4,University of Maryland Medical System,"Linthicum, MD","Baltimore, MD",10000+ employees,Other Organization,Health Care Services & Hospitals,Health Care,$2 to $5 billion (USD),data scientist,Other,63000,112000,87500.0,1,0,0,0,0,0,Medium Rating, MD,0,39
4.8,KnowBe4,"Clearwater, FL","Clearwater, FL",501 to 1000 employees,Company - Private,Security Services,Business Services,$100 to $500 million (USD),data scientist,Other,80000,90000,85000.0,1,1,0,1,0,1,High Rating, FL,1,13
3.8,PNNL,"Richland, WA","Richland, WA",1001 to 5000 employees,Government,Energy,"Oil, Gas, Energy & Utilities",$500 million to $1 billion (USD),data scientist,Other,56000,97000,76500.0,1,0,0,0,0,0,Medium Rating, WA,1,58
2.9,Affinity Solutions,"New York, NY","New York, NY",51 to 200 employees,Company - Private,Advertising & Marketing,Business Services,Unknown,data scientist,Other,86000,143000,114500.0,1,0,0,1,0,1,Low Rating, NY,1,25
3.4,CyrusOne,"Dallas, TX","Dallas, TX",201 to 500 employees,Company - Public,Real Estate,Real Estate,$1 to $2 billion (USD),data scientist,Other,71000,119000,95000.0,1,0,1,1,0,1,Medium Rating, TX,1,23
4.1,ClearOne Advantage,"Baltimore, MD","Baltimore, MD",501 to 1000 employees,Company - Private,Banks & Credit Unions,Finance,Unknown,data scientist,Other,54000,93000,73500.0,0,0,0,1,0,0,High Rating, MD,1,15
3.8,Logic20/20,"San Jose, CA","Seattle, WA",201 to 500 employees,Company - Private,Consulting,Business Services,$25 to $50 million (USD),data scientist,Other,86000,142000,114000.0,1,1,1,1,0,1,Medium Rating, CA,0,18
3.3,Rochester Regional Health,"Rochester, NY","Rochester, NY",10000+ employees,Hospital,Health Care Services & Hospitals,Health Care,$500 million to $1 billion (USD),reasearch scientist,Other,38000,84000,61000.0,0,0,0,0,0,0,Medium Rating, NY,1,9
4.6,<intent>,"New York, NY","New York, NY",51 to 200 employees,Company - Private,Internet,Information Technology,$100 to $500 million (USD),data scientist,Other,120000,160000,140000.0,1,1,0,0,0,0,High Rating, NY,1,14
3.5,Wish,"San Jose, CA","San Francisco, CA",501 to 1000 employees,Company - Private,Other Retail Stores,Retail,$1 to $2 billion (USD),data scientist,Other,126000,201000,163500.0,1,0,0,0,0,0,Medium Rating, CA,0,12
4.1,ManTech,"Chantilly, VA","Herndon, VA",5001 to 10000 employees,Company - Public,Research & Development,Business Services,$1 to $2 billion (USD),data scientist,Other,64000,106000,85000.0,0,0,0,0,0,1,High Rating, VA,0,55
3.2,Walmart,"Plano, TX","Bentonville, AR",10000+ employees,Company - Public,"Department, Clothing, & Shoe Stores",Retail,$10+ billion (USD),data scientist,Associate,106000,172000,139000.0,0,0,0,0,0,1,Medium Rating, TX,0,61
4.1,Yesler,"Seattle, WA","Seattle, WA",201 to 500 employees,Company - Private,Advertising & Marketing,Business Services,Unknown,data analyst,Other,46000,85000,65500.0,1,1,1,1,1,1,High Rating, WA,1,11
3.7,Takeda Pharmaceuticals,"Cambridge, MA","OSAKA, Japan",10000+ employees,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),data scientist,Other,83000,144000,113500.0,1,1,0,0,0,1,Medium Rating, MA,0,242
3.6,Audible,"Newark, NJ","Newark, NJ",1001 to 5000 employees,Subsidiary or Business Segment,Motion Picture Production & Distribution,Media,Unknown,data engineer,Entry Level,102000,190000,146000.0,0,0,0,1,0,0,Medium Rating, NJ,1,28
3.9,Blueprint Medicines,"Cambridge, MA","Cambridge, MA",51 to 200 employees,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$1 to $5 million (USD),business intelligence,Associate,67000,137000,102000.0,0,0,0,1,0,0,Medium Rating, MA,1,12
4.3,h2o.ai,"Mountain View, CA","Mountain View, CA",201 to 500 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown,data scientist,Other,118000,189000,153500.0,1,1,1,1,0,0,High Rating, CA,1,12
4.2,Nuna,"San Francisco, CA","San Francisco, CA",51 to 200 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown,data scientist,Other,110000,175000,142500.0,0,0,0,0,0,1,High Rating, CA,1,13
4.0,Pinnacol Assurance,"Denver, CO","Denver, CO",501 to 1000 employees,Nonprofit Organization,Insurance Carriers,Insurance,$500 million to $1 billion (USD),data scientist,Other,64000,111000,87500.0,1,0,0,1,0,1,High Rating, CO,1,108
3.2,Porch,"Seattle, WA","Seattle, WA",201 to 500 employees,Company - Private,Internet,Information Technology,Unknown,data scientist,Other,81000,130000,105500.0,1,1,0,0,0,1,Medium Rating, WA,1,11
3.9,Health IQ,"Dallas, TX","Mountain View, CA",201 to 500 employees,Company - Private,Insurance Agencies & Brokerages,Insurance,Unknown,data scientist,Senior/Principal,73000,119000,96000.0,0,0,0,1,0,0,Medium Rating, TX,0,10
3.8,Truckstop.com,"Chicago, IL","New Plymouth, ID",501 to 1000 employees,Company - Private,Logistics & Supply Chain,Transportation & Logistics,Unknown,data scientist,Other,86000,139000,112500.0,1,0,1,1,0,1,Medium Rating, IL,0,28
4.3,SMC 3,"Louisville, KY","Peachtree City, GA",51 to 200 employees,Nonprofit Organization,Logistics & Supply Chain,Transportation & Logistics,$10 to $25 million (USD),data scientist,Other,63000,105000,84000.0,1,0,0,1,1,1,High Rating, KY,0,88
4.0,Novetta,"Herndon, VA","Mc Lean, VA",501 to 1000 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD),data scientist,Other,109000,177000,143000.0,1,0,1,0,0,0,High Rating, VA,0,11
4.0,Pfizer,"Cambridge, MA","New York, NY",10000+ employees,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),data scientist,Other,63000,110000,86500.0,1,0,1,1,0,0,High Rating, MA,0,174
3.5,First Tech Federal Credit Union,"Hillsboro, OR","San Jose, CA",1001 to 5000 employees,Company - Private,Banks & Credit Unions,Finance,$100 to $500 million (USD),data scientist,Other,75000,124000,99500.0,1,1,1,1,1,1,Medium Rating, OR,0,71
