Company Name,Location,Headquarters,Size,Type of ownership,Industry,Sector,Revenue,job_simplified,seniority,Rating Category,job_state,Python_yn,Spark,AWS_yn,Average Salary
Tecolote Research,"Albuquerque, NM","Goleta, CA",501 to 1000 employees,Company - Private,Aerospace & Defense,Aerospace & Defense,$50 to $100 million (USD),data scientist,Other,Medium Rating, NM,1,0,0,72000.0
University of Maryland Medical System,"Linthicum, MD","Baltimore, MD",10000+ employees,Other Organization,Health Care Services & Hospitals,Health Care,$2 to $5 billion (USD),data scientist,Other,Medium Rating, MD,1,0,0,87500.0
KnowBe4,"Clearwater, FL","Clearwater, FL",501 to 1000 employees,Company - Private,Security Services,Business Services,$100 to $500 million (USD),data scientist,Other,High Rating, FL,1,1,0,85000.0
PNNL,"Richland, WA","Richland, WA",1001 to 5000 employees,Government,Energy,"Oil, Gas, Energy & Utilities",$500 million to $1 billion (USD),data scientist,Other,Medium Rating, WA,1,0,0,76500.0
Affinity Solutions,"New York, NY","New York, NY",51 to 200 employees,Company - Private,Advertising & Marketing,Business Services,Unknown,data scientist,Other,Low Rating, NY,1,0,0,114500.0
CyrusOne,"Dallas, TX","Dallas, TX",201 to 500 employees,Company - Public,Real Estate,Real Estate,$1 to $2 billion (USD),data scientist,Other,Medium Rating, TX,1,0,1,95000.0
ClearOne Advantage,"Baltimore, MD","Baltimore, MD",501 to 1000 employees,Company - Private,Banks & Credit Unions,Finance,Unknown,data scientist,Other,High Rating, MD,0,0,0,73500.0
Logic20/20,"San Jose, CA","Seattle, WA",201 to 500 employees,Company - Private,Consulting,Business Services,$25 to $50 million (USD),data scientist,Other,Medium Rating, CA,1,1,1,114000.0
Rochester Regional Health,"Rochester, NY","Rochester, NY",10000+ employees,Hospital,Health Care Services & Hospitals,Health Care,$500 million to $1 billion (USD),reasearch scientist,Other,Medium Rating, NY,0,0,0,61000.0
<intent>,"New York, NY","New York, NY",51 to 200 employees,Company - Private,Internet,Information Technology,$100 to $500 million (USD),data scientist,Other,High Rating, NY,1,1,0,140000.0
Wish,"San Jose, CA","San Francisco, CA",501 to 1000 employees,Company - Private,Other Retail Stores,Retail,$1 to $2 billion (USD),data scientist,Other,Medium Rating, CA,1,0,0,163500.0
ManTech,"Chantilly, VA","Herndon, VA",5001 to 10000 employees,Company - Public,Research & Development,Business Services,$1 to $2 billion (USD),data scientist,Other,High Rating, VA,0,0,0,85000.0
Walmart,"Plano, TX","Bentonville, AR",10000+ employees,Company - Public,"Department, Clothing, & Shoe Stores",Retail,$10+ billion (USD),data scientist,Associate,Medium Rating, TX,0,0,0,139000.0
Yesler,"Seattle, WA","Seattle, WA",201 to 500 employees,Company - Private,Advertising & Marketing,Business Services,Unknown,data analyst,Other,High Rating, WA,1,1,1,65500.0
Takeda Pharmaceuticals,"Cambridge, MA","OSAKA, Japan",10000+ employees,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),data scientist,Other,Medium Rating, MA,1,1,0,113500.0
Audible,"Newark, NJ","Newark, NJ",1001 to 5000 employees,Subsidiary or Business Segment,Motion Picture Production & Distribution,Media,Unknown,data engineer,Entry Level,Medium Rating, NJ,0,0,0,146000.0
Blueprint Medicines,"Cambridge, MA","Cambridge, MA",51 to 200 employees,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$1 to $5 million (USD),business intelligence,Associate,Medium Rating, MA,0,0,0,102000.0
h2o.ai,"Mountain View, CA","Mountain View, CA",201 to 500 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown,data scientist,Other,High Rating, CA,1,1,1,153500.0
Nuna,"San Francisco, CA","San Francisco, CA",51 to 200 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown,data scientist,Other,High Rating, CA,0,0,0,142500.0
Pinnacol Assurance,"Denver, CO","Denver, CO",501 to 1000 employees,Nonprofit Organization,Insurance Carriers,Insurance,$500 million to $1 billion (USD),data scientist,Other,High Rating, CO,1,0,0,87500.0
Porch,"Seattle, WA","Seattle, WA",201 to 500 employees,Company - Private,Internet,Information Technology,Unknown,data scientist,Other,Medium Rating, WA,1,1,0,105500.0
Health IQ,"Dallas, TX","Mountain View, CA",201 to 500 employees,Company - Private,Insurance Agencies & Brokerages,Insurance,Unknown,data scientist,Senior/Principal,Medium Rating, TX,0,0,0,96000.0
Truckstop.com,"Chicago, IL","New Plymouth, ID",501 to 1000 employees,Company - Private,Logistics & Supply Chain,Transportation & Logistics,Unknown,data scientist,Other,Medium Rating, IL,1,0,1,112500.0
